"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","82768","test_view[Common -> Column Names:Business Unit]","Common -> Column Names","2026-01-04","failed","2026-01-04","Business Unit","view","",""
"","68915","test_update[Project Mgr/Resource Mgr -> Escalated Tasks:Duration for Delta/Decreased Rem Dur Unit]","Project Mgr/Resource Mgr -> Escalated Tasks","2026-01-03","passed","2026-01-03","Duration for Delta/Decreased Rem Dur Unit","edit","",""
"","85366","test_update[Project Mgr -> Project Control:On Hold]","Project Mgr -> Project Control","2026-01-03","passed","2026-01-03","On Hold","edit","",""
"","62595","test_update[Alerts:Task Ready to Start Email Content]","Alerts","2026-01-03","passed","2026-01-03","Task Ready to Start Email Content","edit","",""
"","63504","test_update[Project Mgr -> Project Control:Show Team Members in Project Manager Filter]","Project Mgr -> Project Control","2026-01-03","passed","2026-01-03","Show Team Members in Project Manager Filter","edit","",""
"","38407","test_update[Common -> Filter Names:Show Managers Only]","Common -> Filter Names","2026-01-03","passed","2026-01-03","Show Managers Only","edit","",""
"","60586","test_view[Common -> Filter Names:Include Completed Tasks]","Common -> Filter Names","2026-01-04","passed","2026-01-04","Include Completed Tasks","view","",""
"","60565","test_update[Common -> Column Names:Delay]","Common -> Column Names","2026-01-03","failed","2026-01-03","Delay","edit","",""
"","63385","test_update[Planning Client -> Import Field Mapping:Revised Baseline Early Start]","Planning Client -> Import Field Mapping","2026-01-04","failed","2026-01-04","Revised Baseline Early Start","edit","",""
"
    Test to ensure non-admin users cannot edit configuration settings.
    This test is parametrized for 2 random rows per sheet.
    ","60172","test_edit_non_admin[Metrics -> Actual Delay Drilldown:Sort Order]","Metrics -> Actual Delay Drilldown","2026-01-03","passed","2026-01-03","Sort Order","edit_non_admin","",""
"","55643","test_update[Common -> Filter Names:Completed (CO) (Task Status)]","Common -> Filter Names","2026-01-03","failed","2026-01-03","Completed (CO) (Task Status)","edit","",""
"","70229","test_update[Common -> Filter Names:Include Compliant Full Kit Mgrs]","Common -> Filter Names","2026-01-03","failed","2026-01-03","Include Compliant Full Kit Mgrs","edit","",""
"","82111","test_view[Common -> Filter Names:Project Role0]","Common -> Filter Names","2026-01-04","failed","2026-01-04","Project Role","view","",""
"","66909","test_update[Common -> Filter Names:CANCELLED]","Common -> Filter Names","2026-01-03","failed","2026-01-03","CANCELLED","edit","",""
"","36235","test_update[Project Mgr -> Work Card Information:Sort Order]","Project Mgr -> Work Card Information","2026-01-03","passed","2026-01-03","Sort Order","edit","",""
"","96766","test_view[Project Mgr -> Search Columns for TLP by Resource:CUSTOM_TASK_TEXT2]","Project Mgr -> Search Columns for TLP by Resource","2026-01-05","failed","2026-01-05","CUSTOM_TASK_TEXT2","view","",""
"","119707","test_update[Metrics -> Red Project Delay:Filters To Display]","Metrics -> Red Project Delay","2026-01-04","passed","2026-01-04","Filters To Display","edit","",""
"","69838","test_view[Common -> Column Names:Target Date]","Common -> Column Names","2026-01-04","passed","2026-01-04","Target Date","view","",""
"
    Test context retention for 3 randomly picked rows from the Excel sheet.
    ","88136","test_context_retention[Executive -> Stuck Tasks Delays Drilldown:Column Order]","Executive -> Stuck Tasks Delays Drilldown","2026-01-03","failed","2026-01-03","Column Order","context_retention","",""
"","50699","test_update[Sys Admin -> Manage Users:Hidden Fields]","Sys Admin -> Manage Users","2026-01-04","failed","2026-01-04","Hidden Fields","edit","",""
"
    Test context retention for 3 randomly picked rows from the Excel sheet.
    ","64211","test_context_retention[Task List -> Task Mgr:Hidden Fields]","Task List -> Task Mgr","2026-01-03","passed","2026-01-03","Hidden Fields","context_retention","",""
"","89086","test_update[Metrics -> Drum Throughput Drilldown:Column Order]","Metrics -> Drum Throughput Drilldown","2026-01-04","failed","2026-01-04","Column Order","edit","",""
"","56562","test_view[Common -> Filter Names:Task Manager]","Common -> Filter Names","2026-01-04","failed","2026-01-04","Task Manager","view","",""
"","21229","test_view[Common -> Filter Names:Filter Changes]","Common -> Filter Names","2026-01-04","passed","2026-01-04","Filter Changes","view","",""
"","41394","test_view[Planning Client -> Adv. Filter Field Mapping:Task Text 62  (Custom Task Text Field)]","Planning Client -> Adv. Filter Field Mapping","2026-01-04","passed","2026-01-04","Task Text 62  (Custom Task Text Field)","view","",""
"","123438","test_update[Project Mgr -> Project Status:Show Team Members in Project Manager Filter]","Project Mgr -> Project Status","2026-01-03","passed","2026-01-03","Show Team Members in Project Manager Filter","edit","",""
